src,dst
2106,2078
2137,76
2143,76
3732,3328
12149,19373
25191,25168
25194,25173
43718,43690
43721,43696
1,2
10,22
19,22
53,42
53,45
58,34
58,42
58,45
68,54
85,54
86,59
94,54
95,54
97,54
98,59
104,54
105,59
112,73
229,54
232,54
237,136
241,209
244,73
248,59
250,136
251,209
255,59
258,76
274,118
281,59
284,76
294,118
311,54
312,73
320,54
321,54
323,54
324,73
329,54
330,73
334,59
341,54
342,54
343,54
345,54
346,54
347,73
352,54
353,54
354,73
359,54
360,54
361,73
366,54
367,59
372,54
373,59
378,54
379,59
386,299
397,118
425,403
435,409
477,445
485,463
487,73
488,413
551,552
561,532
573,574
591,59
598,59
611,556
611,559
614,532
619,532
621,579
625,59
641,498
643,498
647,659
653,513
658,513
661,538
665,63
667,63
692,523
700,34
700,42
700,45
701,34
701,42
701,45
702,538
711,538
740,634
753,634
785,63
787,63
802,532
803,659
807,73
810,659
821,34
821,42
821,45
850,76
857,813
903,886
906,886
909,886
912,886
915,886
966,954
969,73
970,413
976,950
977,930
983,63
984,940
987,73
990,76
991,923
1005,854
1006,992
1011,858
1015,868
1016,997
1025,858
1031,858
1032,1009
1033,76
1038,63
1042,34
1042,42
1042,45
1043,997
1052,997
1054,868
1055,895
1055,899
1058,997
1066,34
1066,42
1066,45
1067,997
1075,997
1081,34
1081,42
1081,45
1082,997
1084,868
1097,1009
1098,63
1101,59
1104,992
1107,73
1119,1111
1124,1111
1125,34
1125,42
1125,45
1126,34
1126,42
1126,45
1130,34
1130,42
1130,45
1133,63
1136,1111
1137,63
1154,1142
1157,73
1158,413
1165,76
1172,930
1177,63
1180,858
1192,73
1199,1186
1203,73
1210,1184
1211,76
1214,73
1217,76
1218,76
1221,59
1225,403
1231,34
1231,42
1231,45
1234,1186
1256,63
1293,73
1297,136
1320,76
1323,1247
1337,1324
1339,299
1342,1253
1345,1334
1348,59
1352,76
1353,302
1354,76
1366,59
1373,73
1388,445
1396,1376
1398,73
1399,413
1410,59
1413,76
1414,302
1415,76
1438,1247
1441,73
1459,1253
1462,118
1463,76
1485,1492
1490,1494
1496,118
1504,1476
1507,73
1508,413
1512,73
1516,118
1519,73
1524,59
1528,63
1540,403
1543,63
1550,59
1553,1536
1559,1551
1561,76
1562,302
1563,76
1564,63
1568,1536
1571,76
1574,73
1580,299
1595,1184
1596,403
1609,59
1614,299
1625,63
1626,532
1627,34
1627,42
1627,45
1629,1184
1632,1615
1635,1592
1638,299
1641,302
1645,73
1708,59
1711,76
1719,73
1724,76
1726,76
1729,930
1730,76
1734,59
1737,76
1740,73
1745,1712
1752,63
1752,63
1754,59
1775,63
1777,1763
1798,1780
1801,1790
1806,63
1807,1281
1809,1253
1815,1799
1822,1152
1822,1150
1823,1812
1826,73
1827,413
1841,1763
1841,1759
1842,76
1845,299
1872,1937
1875,1932
1884,1960
1888,1939
1895,1869
1898,63
1901,1880
1908,1880
1916,1854
1935,34
1935,42
1935,45
1942,1951
1975,1951
1989,59
1995,1869
1998,73
2002,1253
2022,59
2034,59
2040,63
2060,403
2066,299
2067,2048
2075,59
2076,2048
2077,302
2084,136
2085,302
2086,63
2089,59
2093,1186
2107,63
2110,76
2116,59
2119,73
2125,76
2128,63
2130,136
2133,1253
2140,73
2145,63
2147,73
2150,403
2152,403
2157,63
2159,1186
2161,1186
2165,63
2167,1712
2171,1712
2176,63
2179,59
2183,302
2184,76
2189,136
2199,59
2202,76
2205,73
2217,63
2218,76
2263,59
2266,76
2269,73
2274,76
2275,302
2276,76
2283,858
2289,63
2292,1253
2309,532
2319,1869
2327,2298
2330,209
2332,413
2336,1334
2344,532
2345,1869
2348,445
2351,1253
2355,213
2361,76
2365,73
2371,299
2393,2399
2398,2399
2402,34
2402,42
2402,45
