id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,19,0,73,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,0
2,VariableDeclaration,,-1,-1,19,0,62,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,1
4,Identifier,messages,-1,-1,19,4,19,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,2
5,ArrayExpression,,-1,-1,19,15,62,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,3
6,ObjectExpression,,-1,-1,20,2,33,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,4
8,Identifier,id,-1,-1,21,4,21,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,5
10,Identifier,from,-1,-1,22,4,22,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,6
11,ObjectExpression,,-1,-1,22,10,25,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,7
13,Identifier,name,-1,-1,23,6,23,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,8
15,Identifier,email,-1,-1,24,6,24,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,9
17,Identifier,to,-1,-1,26,4,26,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,10
18,ObjectExpression,,-1,-1,26,8,29,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,11
22,Identifier,subject,-1,-1,30,4,30,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,12
24,Identifier,body,-1,-1,31,4,31,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,13
26,Identifier,date,-1,-1,32,4,32,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-router/examples/multi-app/inbox/messages.js,14
