src,dst
1373,1301
1753,1736
5211,5198
11493,11490
12428,12424
41,13
44,802
48,1755
59,13
61,33
63,50
65,50
66,50
68,50
70,50
72,50
74,50
75,50
80,379
85,334
94,13
115,87
122,87
123,87
135,107
192,842
231,825
236,825
249,224
252,825
256,825
257,825
286,195
287,174
310,1801
315,174
318,195
321,205
381,347
403,383
422,383
453,414
543,532
546,532
557,532
566,1801
598,498
613,608
616,608
621,608
761,654
769,677
772,703
921,2819
946,2819
982,966
995,966
996,966
997,966
998,966
1001,966
1007,903
1009,936
1010,960
1201,1114
1204,1041
1209,1140
1215,1140
1221,1140
1258,1271
1341,1801
1369,1327
1376,1801
1434,1810
1536,1517
1579,1465
1580,1452
1586,1530
1588,1493
1697,379
1761,480
1762,570
1772,1702
1774,1719
1780,1235
1782,164
1784,1035
1786,894
1788,1293
1790,1538
1791,1810
1816,849
1831,1244
1832,1801
1912,2837
1933,2696
1943,443
1945,1547
1948,1558
1950,1310
1965,2932
1975,2758
1981,2758
2006,1984
2007,1984
2010,2735
2017,2848
2019,2924
2021,2910
2032,2844
2054,2844
2071,842
2078,2786
2081,2780
2116,2086
2119,2928
2123,2928
2152,862
2162,2263
2173,835
2219,2086
2226,2968
2228,2968
2229,2978
2239,2978
2244,2978
2261,2201
2262,2201
2350,2848
2353,849
2355,1801
2419,2696
2432,3007
2434,2414
2442,2696
2446,2414
2459,2328
2462,3007
2469,1801
2483,1801
2495,1801
2497,1801
2507,1801
2517,2819
2525,3007
2535,358
2551,2532
2553,1365
2572,2566
2594,1801
2609,2705
2632,2641
2637,1801
2640,1801
2643,1801
2664,1801
2666,1801
2670,1801
2687,1801
2688,1801
2703,3007
2744,1265
2749,1254
2756,2837
2764,2819
2768,1271
2772,1254
2778,2696
2782,1004
2803,2819
2804,811
2805,1271
2810,811
2846,278
2887,2819
2889,2819
2918,2819
2921,1801
2922,2819
2927,734
2930,1167
2938,2819
2947,367
2963,2705
2974,2328
2983,2968
2986,2328
3001,3007
3004,2978
3165,33
3180,33
3433,12424
3496,12424
3559,33
3596,33
3612,3554
3619,3554
3628,862
3635,3593
3636,3554
3640,862
3644,126
3648,3593
3649,3554
3677,3212
3698,33
3721,33
3778,33
3807,3212
3843,33
3861,33
3875,33
3890,33
3903,33
3954,33
3968,3946
3969,3946
3970,3946
3971,3946
3972,3946
3973,3946
3974,3946
3975,3946
3976,3946
3977,3946
3978,3946
3979,3946
3980,3946
3981,3946
3982,3946
3983,3946
3992,3966
4002,33
4012,107
4022,33
4031,33
4043,33
4052,33
4060,33
4149,33
4165,33
4177,33
4190,33
4206,33
4220,33
4235,33
4343,33
4355,33
4365,33
4396,33
4408,33
4420,33
4430,33
4460,3212
4481,33
4500,4470
4502,3366
4504,4470
4506,3376
4526,4470
4528,3366
4532,4470
4534,3366
4536,4470
4538,3366
4541,4470
4543,3366
4546,4470
4548,3307
4551,4470
4553,3307
4555,4470
4557,3307
4564,4470
4566,3307
4571,4470
4573,3307
4578,4470
4580,3307
4601,33
4666,82
4676,82
4684,77
4686,33
4696,367
4701,373
4711,77
4712,33
4717,367
4720,373
4729,77
4730,33
4735,367
4738,373
4746,77
4750,358
4752,82
4757,373
4769,4766
4771,77
4797,3212
4852,107
4869,107
4883,107
4908,107
4921,107
4934,107
4947,107
4962,107
4973,107
4984,107
5001,107
5047,107
5052,33
5076,107
5082,13
5086,33
5105,107
5108,13
5112,33
5121,107
5148,107
5160,107
5172,107
5238,5206
5244,5198
5267,5213
5268,5213
5271,5213
5274,5213
5275,5206
5278,5198
5281,5206
5285,5198
5306,33
5329,33
5344,33
5359,33
5410,33
5422,33
5436,33
5468,33
5476,33
5484,33
5494,33
5502,33
5509,33
5518,33
5526,33
5535,33
5544,33
5569,3212
5595,33
5773,3212
5816,3376
5848,5831
5854,33
6032,33
6073,5887
6077,5887
6081,5887
6177,6094
6323,33
6666,33
6685,6686
6700,6686
6727,3233
6744,33
6762,33
6774,33
6787,33
6799,33
6810,33
6835,33
6851,33
6868,33
6879,33
6922,7061
6943,33
6970,33
6981,33
6992,33
7003,33
7013,33
7024,33
7035,33
7046,33
7104,703
7156,3212
7194,33
7205,7181
7213,77
7214,358
7216,7181
7223,77
7224,358
7227,7181
7232,7181
7241,7181
7251,7203
7300,33
7309,7283
7317,7283
7320,33
7333,33
7343,33
7353,33
7361,33
7369,33
7383,33
7389,7376
7392,7376
7397,33
7402,7376
7405,7376
7429,33
7438,7422
7501,33
7515,33
7576,7551
7579,7551
7582,3212
7586,3263
7639,7548
7640,33
7653,33
7663,7623
7664,7623
7666,7623
7668,7623
7670,7623
7699,3263
7720,3263
7752,33
7763,7735
7765,3366
7767,7735
7769,3376
7790,7735
7792,3366
7795,7735
7797,3307
7800,7735
7802,3307
7804,7735
7806,3307
7813,7735
7815,3307
7826,7721
7832,7721
7867,33
7878,33
7887,33
7895,33
7907,33
7916,33
7925,33
7937,33
7966,3212
7986,3340
7996,33
8015,3340
8019,33
8033,3340
8037,33
8043,7976
8044,7976
8045,7976
8046,7976
8048,7976
8049,7976
8054,7976
8066,8007
8073,8007
8076,8025
8081,8025
8084,8025
8103,33
8363,8279
8504,33
8550,8381
8606,33
8643,33
8654,33
8832,8690
8848,8690
8864,8690
8877,8690
8892,8690
8906,8690
8923,8690
8937,8690
8950,8690
9261,33
9266,2953
9266,33
9285,33
9393,3212
9458,3212
9470,33
9497,9460
9499,3366
9501,9460
9503,3376
9523,9460
9525,3366
9529,9460
9531,3366
9534,9460
9536,3307
9539,9460
9541,3307
9543,9460
9545,3307
9552,9460
9554,3307
9606,33
9609,2953
9625,33
9667,3212
9742,3307
9797,3307
9817,3366
9823,2953
9823,33
9848,33
9880,33
9882,2989
9892,2994
9930,9898
9931,9898
9982,33
9984,2953
10011,9708
10032,9708
10041,3366
10056,2953
10056,33
10066,9708
10118,33
10136,33
10167,107
10190,107
10211,107
10233,107
10395,33
10443,3212
10457,10485
10496,33
10520,10465
10523,10465
10525,10465
10530,10465
10535,10465
10539,10465
10543,10465
10547,10465
10551,10465
10556,10465
10559,10465
10562,10465
10565,10465
10568,10465
10572,10465
10575,10465
10579,10465
10582,10465
10585,10465
10588,10465
10591,10465
10594,10465
10597,10465
10600,10465
10603,10465
10607,10465
10610,10465
10613,10465
10616,10465
10620,10465
10632,10516
10706,10648
10710,10648
10713,10648
10716,10648
10718,10648
10721,10648
10727,10648
10733,10699
10734,10648
10739,10699
10740,10648
10746,10699
10747,10648
10753,10699
10754,10648
10760,10699
10761,10648
10766,10699
10786,3212
10790,3263
10794,107
10850,10812
10850,10806
10866,10829
10867,10829
10876,33
10892,10868
10894,10812
10894,10806
10895,10868
10897,10812
10897,10806
10898,10868
10900,10812
10900,10806
10901,10868
10903,10812
10903,10806
10911,10890
10926,10812
10926,10806
10932,10812
10932,10806
10956,3212
10960,3263
11031,10968
11033,10968
11045,33
11066,11041
11097,3212
11101,3263
11108,77
11163,11127
11168,11127
11169,11137
11178,11152
11179,11152
11180,11152
11181,11152
11182,11152
11183,11152
11187,358
11190,33
11209,358
11211,33
11225,33
11240,33
11370,33
11394,33
11411,33
11622,11529
11676,33
11741,3212
11771,33
11774,11698
11780,33
11782,11698
11796,33
11801,11698
11809,33
11813,11707
11822,33
11833,33
11836,11698
11843,33
11845,11698
11868,11852
11874,33
11879,11864
11880,11698
11882,11707
11888,11852
11893,33
11898,11886
11902,11707
11924,33
11931,33
11933,11698
11948,33
11952,2696
11979,3212
12022,33
12100,33
12126,33
12145,33
12218,33
12334,3212
12338,3263
12342,3263
12361,12346
12377,12346
12379,2953
12379,33
12385,12346
12393,12346
12411,12346
12417,12353
12418,12353
12419,12353
12440,33
12444,12346
12454,12429
12458,12429
12461,12429
12464,12429
12467,12429
12470,12429
12473,12429
12476,12429
12479,12429
12482,12429
12485,12429
12489,12429
12492,12429
12495,12429
12498,12429
12501,12429
12504,12429
12507,12429
12510,12429
12513,12429
12516,12429
12519,12429
12522,12429
12525,12429
12528,12429
12532,12429
12544,12452
12636,33
12646,33
