id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,6,0,6,39952,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,0
2,VariableDeclaration,,-1,-1,6,0,6,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,1
4,Identifier,t,-1,-1,6,6,6,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,2
5,CallExpression,create,-1,1,6,8,6,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,3
7,Identifier,Object,-1,-1,6,8,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,4
8,Identifier,create,-1,-1,6,15,6,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,5
10,SequenceExpression,,-1,-1,6,28,6,111,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,6
13,Identifier,open,-1,-1,6,30,6,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,7
16,Identifier,close,-1,-1,6,41,6,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,8
19,Identifier,ping,-1,-1,6,53,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,9
22,Identifier,pong,-1,-1,6,64,6,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,10
25,Identifier,message,-1,-1,6,75,6,82,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,11
28,Identifier,upgrade,-1,-1,6,89,6,96,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,12
31,Identifier,noop,-1,-1,6,103,6,107,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,13
32,VariableDeclaration,,-1,-1,6,112,6,140,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,14
34,Identifier,e,-1,-1,6,118,6,119,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,15
35,CallExpression,create,-1,1,6,120,6,139,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,16
38,CallExpression,forEach,-1,1,6,140,6,180,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,17
40,CallExpression,keys,-1,1,6,140,6,154,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,18
42,Identifier,keys,-1,-1,6,147,6,151,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,19
43,Identifier,forEach,-1,-1,6,155,6,162,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,20
44,ArrowFunctionExpression,,1,-1,6,164,6,178,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,21
45,Identifier,s,-1,-1,6,164,6,165,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,22
51,VariableDeclaration,,-1,-1,6,181,6,741,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,23
53,ObjectExpression,,-1,-1,6,189,6,223,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,24
55,Identifier,type,-1,-1,6,190,6,194,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,25
57,Identifier,data,-1,-1,6,203,6,207,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,26
59,Identifier,n,-1,-1,6,224,6,225,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,27
62,UnaryExpression,,-1,-1,6,238,6,249,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,28
63,Identifier,Blob,-1,-1,6,245,6,249,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,29
66,UnaryExpression,,-1,-1,6,264,6,275,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,30
68,CallExpression,call,-1,1,6,306,6,342,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/socket.io/client-dist/socket.io.esm.min.js,31
