src,dst
1053,1044
1055,1044
170,554
170,400
177,400
179,400
205,1673
214,1678
215,220
238,220
240,1673
245,1678
246,220
322,194
322,197
349,297
362,367
365,1691
376,325
414,331
426,509
440,509
441,509
443,1691
484,200
497,502
527,159
533,509
560,574
578,509
581,183
608,529
635,563
645,509
653,546
662,325
670,1678
680,97
687,400
688,102
691,554
698,163
702,481
704,554
709,163
713,481
715,554
719,163
725,554
729,163
735,554
740,163
746,554
751,163
757,554
762,163
768,554
940,1691
1112,1678
1186,1073
1238,1198
1272,1673
1277,1678
1278,1270
1299,1673
1303,1678
1304,1289
1314,1678
1315,1289
1350,1073
1362,1270
1377,1270
1414,1673
1435,1673
1444,1678
1522,1333
1532,1512
1537,1512
1560,1612
1563,1619
1578,1638
1697,1678
1720,7598
1830,1791
1831,1791
1832,1791
1835,1791
1837,1791
1839,1791
1842,1791
1844,1791
1848,1791
1850,1791
1852,1791
1855,1791
1862,1809
1864,1809
1867,1809
1871,1809
1873,1809
1875,1809
1951,7598
2022,7598
2145,6637
2506,7598
2601,7598
3055,7598
3254,7598
3426,7598
3451,7598
3486,7598
3527,6637
3826,7598
3922,6637
4165,7598
4247,7598
4302,4218
4330,4218
4334,4218
4338,4218
4368,4224
4370,4224
4395,4224
4397,4224
4439,4218
4468,4218
4489,4224
4491,4224
4562,4571
4570,4544
4607,7598
4681,7598
4819,7598
4884,6637
5191,6637
5194,6637
5549,7598
5992,6637
6108,7598
6150,6637
6234,6637
6324,6637
6517,7598
6628,6685
6634,7016
6754,6941
6792,6941
6822,6941
6826,6941
6833,6941
6847,6941
6870,6941
6876,6941
6891,6941
6907,6941
6928,6941
6933,6941
7143,7566
7162,7566
7231,7494
7504,7233
7511,7233
7516,7233
7521,7233
7528,7498
7531,7512
7539,7498
7543,7233
