src,dst
369,353
328,317
328,318
339,308
339,317
339,318
347,340
490,444
508,444
510,444
512,444
517,444
599,612
608,612
616,583
618,612
643,652
645,652
646,652
657,659
757,727
757,747
817,781
865,860
882,887
883,887
884,887
895,897
899,904
902,914
909,914
911,897
913,897
920,897
928,935
929,935
932,935
942,860
960,759
963,968
964,968
965,968
975,976
1012,727
1012,747
1013,995
1013,998
1139,1124
1153,1135
1155,1140
1157,1135
1161,1140
1227,1228
1249,1281
1250,1262
1252,1262
1257,1281
1258,1262
1259,1262
1260,1281
1261,1262
1310,1290
1310,1293
1317,1311
1444,1398
1462,1398
1464,1398
1466,1398
1471,1398
1538,1551
1547,1551
1555,1522
1557,1551
1581,1590
1583,1590
1584,1590
1594,1596
1668,1670
1668,1687
1742,1709
1784,1780
1799,1804
1800,1804
1801,1804
1812,1814
1816,1821
1819,1831
1826,1831
1828,1814
1830,1814
1837,1814
1843,1850
1844,1850
1847,1850
1857,1780
1873,1689
1876,1881
1877,1881
1878,1881
1888,1889
1920,1670
1920,1687
1921,1905
1921,1908
2034,2021
2048,2030
2050,2035
2052,2030
2056,2035
