id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,63,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,0
3,CallExpression,,-1,0,1,1,63,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,1
4,FunctionExpression,,0,-1,1,1,63,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,2
6,VariableDeclaration,,-1,-1,2,2,2,59,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,3
8,Identifier,functions,-1,-1,2,6,2,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,4
9,CallExpression,querySelectorAll,-1,1,2,18,2,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,5
11,Identifier,document,-1,-1,2,18,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,6
12,Identifier,querySelectorAll,-1,-1,2,27,2,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,7
13,VariableDeclaration,,-1,-1,3,2,3,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,8
15,Identifier,sections,-1,-1,3,6,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,9
16,CallExpression,querySelectorAll,-1,1,3,17,3,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,10
18,VariableDeclaration,,-1,-1,4,2,4,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,11
20,Identifier,searchInput,-1,-1,4,6,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,12
21,CallExpression,getElementById,-1,1,4,20,4,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,13
23,Identifier,getElementById,-1,-1,4,29,4,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,14
24,FunctionDeclaration,searchValue,0,-1,6,2,8,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,15
25,Identifier,searchValue,-1,-1,6,11,6,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,16
27,ReturnStatement,,-1,-1,7,4,7,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,17
28,CallExpression,replace,-1,2,7,11,7,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,18
30,CallExpression,trim,-1,0,7,11,7,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,19
33,Identifier,value,-1,-1,7,23,7,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,20
34,Identifier,trim,-1,-1,7,29,7,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,21
35,Identifier,replace,-1,-1,7,36,7,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,22
36,FunctionDeclaration,strIn,2,-1,10,2,14,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,23
37,Identifier,strIn,-1,-1,10,11,10,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,24
38,Identifier,a,-1,-1,10,17,10,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,25
39,Identifier,b,-1,-1,10,20,10,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,26
43,CallExpression,toLowerCase,-1,0,11,8,11,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,27
45,Identifier,toLowerCase,-1,-1,11,10,11,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,28
48,CallExpression,toLowerCase,-1,0,12,8,12,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,29
50,ReturnStatement,,-1,-1,13,4,13,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,30
52,CallExpression,indexOf,-1,1,13,11,13,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,31
54,Identifier,indexOf,-1,-1,13,13,13,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,32
55,FunctionDeclaration,doesMatch,1,-1,16,2,21,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,33
56,Identifier,doesMatch,-1,-1,16,11,16,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,34
57,Identifier,element,-1,-1,16,21,16,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,35
59,VariableDeclaration,,-1,-1,17,4,17,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,36
61,Identifier,name,-1,-1,17,8,17,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,37
62,CallExpression,getAttribute,-1,1,17,15,17,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,38
64,Identifier,getAttribute,-1,-1,17,23,17,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,39
65,VariableDeclaration,,-1,-1,18,4,18,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,40
67,Identifier,aliases,-1,-1,18,8,18,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,41
69,CallExpression,getAttribute,-1,1,18,18,18,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,42
71,VariableDeclaration,,-1,-1,19,4,19,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,43
73,CallExpression,searchValue,-1,0,19,16,19,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,44
74,ReturnStatement,,-1,-1,20,4,20,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,45
76,CallExpression,strIn,-1,2,20,11,20,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,46
77,CallExpression,strIn,-1,2,20,33,20,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/underscore/docs/main.js,47
