src,dst
168,78
173,94
175,125
183,136
201,225
302,1101
306,1130
307,1213
318,1192
322,1192
332,1101
335,1130
336,1213
342,1192
345,1192
353,1101
356,1130
357,1213
363,1192
366,1192
374,1101
377,1130
378,1213
384,1192
387,1192
395,1101
398,1130
399,1213
405,1192
408,1192
416,1101
419,1130
420,1213
426,1192
429,1192
437,1101
440,1130
441,1213
447,1192
450,1192
458,1101
461,1130
462,1213
468,1192
471,1192
479,1101
482,1130
483,1213
489,1192
492,1192
500,1101
503,1130
504,1213
510,1192
513,1192
521,1101
524,1130
525,1213
531,1192
534,1192
542,1101
544,1130
545,1213
582,1101
586,1130
587,1213
591,1192
596,1192
606,1101
609,1130
610,1213
613,1192
616,1192
624,1101
627,1130
628,1213
631,1192
634,1192
662,1101
666,1130
667,1213
678,1192
682,1192
700,1101
703,1130
704,1213
710,1192
713,1192
724,1101
727,1130
728,1213
734,1192
737,1192
749,1101
752,1130
753,1213
759,1192
762,1192
774,1101
777,1130
778,1213
784,1192
787,1192
800,1101
803,1130
804,1213
810,1192
813,1192
824,1101
827,1130
828,1213
834,1192
837,1192
916,1101
920,1130
921,1213
932,1192
936,1192
951,1101
954,1130
955,1213
961,1192
964,1192
986,1101
989,1130
990,1213
996,1192
999,1192
1019,1101
1022,1130
1023,1213
1029,1192
1032,1192
1052,1101
1055,1130
1056,1213
1062,1192
1065,1192
1085,1101
1088,1130
1089,1213
1095,1192
1098,1192
1199,1173
1261,1101
1265,1130
1266,1213
1277,1192
1281,1192
1291,1101
1294,1130
1295,1213
1301,1192
1304,1192
1312,1101
1315,1130
1316,1213
1322,1192
1325,1192
1333,1101
1336,1130
1337,1213
1343,1192
1346,1192
1354,1101
1357,1130
1358,1213
1364,1192
1367,1192
1375,1101
1378,1130
1379,1213
1385,1192
1388,1192
1398,1101
1401,1130
1402,1213
1408,1192
1411,1192
1420,1101
1423,1130
1424,1213
1430,1192
1433,1192
1442,1101
1445,1130
1446,1213
1452,1192
1455,1192
1464,1101
1467,1130
1468,1213
1474,1192
1477,1192
1485,1101
1488,1130
1489,1213
1495,1192
1498,1192
1506,1101
1509,1130
1510,1213
1516,1192
1519,1192
1527,1101
1530,1130
1531,1213
1537,1192
1540,1192
1548,1101
1551,1130
1552,1213
1558,1192
1561,1192
1569,1101
1572,1130
1573,1213
1579,1192
1582,1192
1590,1101
1593,1130
1594,1213
1600,1192
1603,1192
1611,1101
1614,1130
1615,1213
1621,1192
1624,1192
1652,1101
1656,1130
1657,1213
1668,1192
1672,1192
1680,1101
1683,1130
1684,1213
1690,1192
1693,1192
1716,1101
1719,1130
1720,1213
1726,1192
1729,1192
1742,1101
1745,1130
1746,1213
1752,1192
1755,1192
1766,1101
1769,1130
1770,1213
1776,1192
1779,1192
1804,1101
1808,1130
1809,1213
1820,1192
1824,1192
1834,1101
1837,1130
1838,1213
1844,1192
1847,1192
1855,1101
1858,1130
1859,1213
1865,1192
1868,1192
1876,1101
1879,1130
1880,1213
1886,1192
1889,1192
1897,1101
1900,1130
1901,1213
1907,1192
1910,1192
1917,1101
1920,1130
1921,1213
1927,1192
1930,1192
1938,1101
1941,1130
1942,1213
1948,1192
1951,1192
1960,1101
1963,1130
1964,1213
1970,1192
1973,1192
1981,1101
1984,1130
1985,1213
1991,1192
1994,1192
2007,225
2019,225
2026,225
2033,225
2042,225
2122,2095
2132,1101
2170,2110
