id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,13,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,0
3,VariableDeclaration,,-1,-1,3,0,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,1
5,Identifier,winston,-1,-1,3,6,3,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,2
6,CallExpression,require,-1,1,3,16,3,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,3
7,Identifier,require,-1,-1,3,16,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,4
8,VariableDeclaration,,-1,-1,5,0,11,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,5
10,Identifier,logger,-1,-1,5,6,5,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,6
13,Identifier,module,-1,-1,5,15,5,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,7
14,Identifier,exports,-1,-1,5,22,5,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,8
15,CallExpression,createLogger,-1,1,5,32,11,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,9
17,Identifier,createLogger,-1,-1,5,40,5,52,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,10
18,ObjectExpression,,-1,-1,5,53,11,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,11
20,Identifier,transports,-1,-1,6,2,6,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,12
21,ArrayExpression,,-1,-1,6,14,6,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,13
22,NewExpression,Console,-1,0,6,15,6,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,14
25,Identifier,Console,-1,-1,6,38,6,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,15
27,Identifier,format,-1,-1,7,2,7,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,16
28,CallExpression,combine,-1,2,7,10,10,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/examples/color-message.js,17
