src,dst
287,217
45,1784
49,1784
52,1784
55,1784
58,1784
61,1784
64,1784
67,1784
70,1784
73,1784
177,160
180,160
183,160
185,160
197,173
268,173
270,160
271,173
274,275
432,433
493,451
501,451
519,451
521,451
523,451
527,451
531,451
771,716
775,724
863,838
894,838
917,838
951,914
956,1002
962,859
967,1002
972,891
974,1002
979,838
980,1002
1086,1016
1113,1016
1116,1016
1178,1016
1180,1016
1198,1016
1200,1016
1202,1016
1204,1016
1205,1016
1413,1449
1455,1483
1459,1551
1463,1560
1467,1587
1471,1592
1477,1711
1479,1449
1487,1417
1490,1696
1499,1696
1503,1696
1507,1696
1511,1696
1519,1696
1522,1696
1525,1696
1530,1696
1541,1696
1544,1696
1548,1580
1555,1417
1558,1580
1564,1417
1574,1696
1578,1580
1584,1696
1590,1417
1598,1417
1600,724
1600,773
1603,1664
1606,1615
1612,1637
1627,1696
1631,1637
1635,1449
1647,687
1649,729
1650,687
1654,687
1658,2124
1658,2151
1658,2164
1660,1696
1675,2120
1677,1696
1686,2124
1686,2151
1686,2164
1688,1696
1838,716
1838,769
1841,716
1841,769
1855,2120
1881,2009
1885,2013
1887,1784
1896,737
1903,2009
1905,2013
1906,1784
1915,737
1922,2009
1924,2013
1925,1784
1942,737
1955,2009
1957,1962
1958,2013
1959,1784
1965,2013
1966,1784
1992,2013
1993,1784
1994,1997
2016,3538
2018,3540
2019,3540
2020,3543
2022,3540
2154,2124
2167,2124
2269,2222
2289,687
2360,2324
2363,2324
2390,838
2419,838
2442,859
2447,859
2471,859
2486,859
2501,859
2513,891
2522,891
2543,891
2558,891
2570,914
2575,914
2595,914
2617,1025
2626,1025
2637,1025
2649,1025
2655,1025
2661,1025
2667,1025
2675,1025
2678,1025
2682,1025
2691,1025
2702,1025
2731,1025
2750,1025
2776,1025
2788,1025
2795,1207
2803,1207
2811,1207
2836,1272
2847,1272
2848,1283
2861,1283
2920,1025
2932,1025
2941,1025
2950,1025
2959,1025
2963,1025
2985,1025
2996,1025
3006,1025
3016,1025
3026,1025
3036,1025
3046,1025
3056,1025
3078,1025
3088,1025
3098,1025
3108,1025
3117,1025
3121,1025
3221,1025
3256,1025
3258,1025
3307,1025
3309,1025
3353,1025
3390,1025
3489,1025
3558,1784
3576,1784
3583,1784
3603,3528
3621,1765
3636,1928
3639,1928
3640,1928
3650,3528
3662,1765
3666,1025
3669,1928
3680,3528
3694,1765
3697,1025
3699,1928
3701,1928
3711,3528
3725,1765
3728,1025
3730,1928
3732,1928
3742,3528
3756,1765
3759,1025
3761,1928
3765,1928
3775,3528
3789,1765
3792,1025
3794,1928
3796,1928
3808,3528
3828,1765
3836,1928
3838,1890
3840,1890
3841,1890
3850,3528
3869,1765
3877,1928
3879,1909
3881,1909
3882,1909
3888,3528
3890,1765
3894,1846
3898,1846
3902,3528
3904,1765
3907,1846
3916,3528
3924,1765
3929,1928
3931,1928
3933,1928
3935,1846
3959,2031
3966,2031
3974,2031
3990,2031
4003,2031
4013,2031
4028,2031
4040,2031
4060,2124
4060,2151
4060,2164
4068,2124
4068,2151
4068,2164
4072,2124
4072,2151
4072,2164
4076,2124
4076,2151
4076,2164
4090,2124
4090,2151
4090,2164
4096,2124
4096,2151
4096,2164
4100,2124
4100,2151
4100,2164
4110,2124
4110,2151
4110,2164
4465,4455
4772,2356
5346,1784
